area_name,area_type,time_of_day,lighting_quality,crime_rate,crowd_density,incident_count,cctv_coverage,police_distance_km,safety_score,safety_label,lat,lng,ward_no,women_safety_risk,street_light_coverage,police_station_nearby,ncrb_crime_intensity
Navlakha,commercial,22,medium,low,medium,3,yes,1.8,50.5,Medium,22.7156,75.8689,20,medium,partial,1,0.65
Bapat Square,commercial,13,good,low,high,6,yes,1.4,92.5,Safe,22.7234,75.8867,36,low,full,0,0.45
Sanwer Road Indl,industrial,17,poor,high,low,33,no,7.0,16.0,Unsafe,22.7456,75.8123,74,medium,partial,0,0.67
Mhow Road,commercial,2,medium,medium,low,8,yes,3.5,27.0,Unsafe,22.6534,75.8234,26,low,partial,0,0.6
Annapurna Road,commercial,13,medium,medium,medium,16,yes,3.0,61.6,Medium,22.6975,75.8782,7,low,partial,1,0.44
AB Road,commercial,10,good,low,high,6,yes,1.3,92.6,Safe,22.7233,75.8958,52,low,full,0,0.44
Bhanwarkuan,residential,1,medium,medium,low,10,no,3.5,19.4,Unsafe,22.6812,75.8645,3,low,partial,0,0.56
Bhagirathpura,residential,7,medium,medium,medium,16,no,4.0,28.3,Unsafe,22.7212,75.8489,28,high,partial,0,0.37
Hatod Road,isolated,11,poor,high,low,38,no,8.5,19.3,Unsafe,22.7823,75.7934,81,low,none,0,0.79
Old Railway Lanes,isolated,6,poor,high,low,18,no,6.5,18.2,Unsafe,22.7134,75.8423,15,high,none,0,0.78
Bambori,isolated,2,poor,high,low,23,no,8.5,10.6,Unsafe,22.8234,75.8623,86,low,none,0,0.99
Rajwada,market,19,medium,medium,high,6,yes,1.5,56.2,Medium,22.718,75.8573,8,medium,partial,1,0.58
Loha Mandi,industrial,14,poor,high,low,40,no,7.0,24.1,Unsafe,22.7089,75.8512,14,high,none,0,0.71
Chhota Bangarda,residential,16,medium,medium,low,16,no,5.0,40.7,Medium,22.7823,75.9123,76,low,none,0,0.43
Bada Rawla Naka,market,11,medium,medium,medium,15,no,3.5,45.9,Medium,22.7089,75.8556,19,low,partial,0,0.61
Annapurna Road,commercial,16,medium,medium,medium,18,yes,3.0,61.9,Medium,22.6975,75.8782,7,low,partial,1,0.41
Bapat Square,commercial,1,good,low,low,2,yes,1.4,59.1,Medium,22.7234,75.8867,36,low,full,0,0.59
LIG Colony,residential,12,good,low,medium,4,yes,2.4,92.8,Safe,22.7423,75.8734,55,low,partial,1,0.42
Palasia,commercial,2,good,low,low,4,yes,1.5,58.9,Medium,22.7197,75.8772,32,low,full,1,0.61
Bypass Roads,isolated,9,poor,high,low,30,no,9.0,19.8,Unsafe,22.7823,75.8789,80,high,none,0,0.82
Scheme 140,residential,3,good,low,low,4,yes,2.8,59.2,Medium,22.7634,75.8734,69,low,partial,0,0.58
Bhanwarkuan,residential,9,medium,medium,medium,9,no,3.5,47.6,Medium,22.6812,75.8645,3,low,partial,0,0.44
Nipania,residential,6,good,low,low,2,yes,2.2,80.6,Safe,22.7634,75.9123,71,low,partial,0,0.44
Bapat Square,commercial,14,good,low,high,5,yes,1.4,95.7,Safe,22.7234,75.8867,36,low,full,0,0.43
Bhagirathpura,residential,15,medium,medium,medium,17,no,4.0,32.9,Unsafe,22.7212,75.8489,28,high,partial,0,0.41
Musakhedi,residential,12,poor,high,low,41,no,6.0,16.1,Unsafe,22.7134,75.8734,27,medium,partial,0,0.36
Juni Indore,market,14,medium,medium,medium,16,no,3.0,37.2,Unsafe,22.7123,75.8512,16,high,partial,0,0.58
Navlakha,commercial,20,medium,low,high,7,yes,1.8,50.2,Medium,22.7156,75.8689,20,medium,partial,1,0.68
MG Road,commercial,12,good,low,high,3,yes,1.0,95.3,Safe,22.7196,75.8799,18,low,full,1,0.47
Dewas Road,commercial,19,medium,medium,medium,4,yes,4.0,58.6,Medium,22.7456,75.8234,75,low,partial,0,0.44
Bambori,isolated,20,poor,high,low,56,no,8.5,17.2,Unsafe,22.8234,75.8623,86,low,none,0,1.01
Sarafa Bazar,market,8,good,low,high,8,yes,0.9,85.6,Safe,22.7167,75.8554,9,low,partial,0,0.64
Kanadiya,residential,17,medium,medium,medium,15,no,4.5,43.2,Medium,22.7934,75.8456,83,low,partial,1,0.38
Tejaji Nagar,residential,1,medium,medium,low,26,no,3.2,13.4,Unsafe,22.6934,75.8345,23,medium,partial,0,0.55
Murai Mohalla,residential,8,medium,medium,low,16,no,4.5,20.7,Unsafe,22.7145,75.8478,13,high,partial,0,0.43
Bapat Square,commercial,22,good,low,medium,5,yes,1.4,65.4,Medium,22.7234,75.8867,36,low,full,0,0.66
Sarafa Bazar,market,19,good,low,high,3,yes,0.9,88.8,Safe,22.7167,75.8554,9,low,partial,0,0.62
Bhanwarkuan,residential,22,medium,medium,low,14,no,3.5,14.1,Unsafe,22.6812,75.8645,3,low,partial,0,0.59
Sanwer Road Indl,industrial,23,poor,high,low,39,no,7.0,10.0,Unsafe,22.7456,75.8123,74,medium,partial,0,1.0
Manik Bagh,residential,3,good,low,low,2,yes,2.1,59.2,Medium,22.6934,75.8823,6,low,partial,0,0.58
Sanwer Road Indl,industrial,21,poor,high,low,35,no,7.0,12.1,Unsafe,22.7456,75.8123,74,medium,partial,0,0.98
Limbodi,residential,0,medium,medium,low,8,no,5.5,6.3,Unsafe,22.8123,75.8456,84,medium,partial,0,0.57
MG Road,commercial,16,good,low,high,1,yes,1.0,95.6,Safe,22.7196,75.8799,18,low,full,1,0.44
Bambori,isolated,11,poor,high,low,60,no,8.5,20.2,Unsafe,22.8234,75.8623,86,low,none,0,0.79
Sudama Nagar,residential,19,medium,medium,low,7,no,4.5,41.1,Medium,22.6891,75.8731,4,low,partial,0,0.39
Palasia,commercial,20,good,low,high,2,yes,1.5,69.0,Medium,22.7197,75.8772,32,low,full,1,0.6
Geeta Bhawan,residential,16,good,low,medium,2,yes,2.8,93.3,Safe,22.7242,75.882,38,low,full,0,0.37
Jawahar Marg,commercial,14,good,low,high,2,yes,1.5,95.1,Safe,22.7178,75.8712,22,low,partial,0,0.49
Pardeshipura,industrial,4,medium,medium,low,20,no,5.0,5.3,Unsafe,22.7289,75.8534,33,medium,partial,1,0.98
Super Corridor,commercial,10,good,low,medium,3,yes,2.0,92.8,Safe,22.8123,75.8934,85,low,full,0,0.42
Navlakha,commercial,20,medium,low,high,2,yes,1.8,54.1,Medium,22.7156,75.8689,20,medium,partial,1,0.59
Limbodi,residential,14,medium,medium,low,8,no,5.5,33.4,Unsafe,22.8123,75.8456,84,medium,partial,0,0.36
Bhagirathpura,residential,22,medium,medium,low,7,no,4.0,7.3,Unsafe,22.7212,75.8489,28,high,partial,0,0.59
Sudama Nagar,residential,21,medium,medium,low,8,no,4.5,19.8,Unsafe,22.6891,75.8731,4,low,partial,0,0.52
Scheme 54,residential,0,good,low,low,3,yes,2.5,59.1,Medium,22.7411,75.8673,54,low,full,1,0.59
Sarafa Bazar,market,15,good,low,high,9,yes,0.9,90.7,Safe,22.7167,75.8554,9,low,partial,0,0.63
AB Road,commercial,17,good,low,high,2,yes,1.3,90.1,Safe,22.7233,75.8958,52,low,full,0,0.49
Juni Indore,market,8,medium,medium,medium,12,no,3.0,32.5,Unsafe,22.7123,75.8512,16,high,partial,0,0.55
Banganga,residential,11,medium,medium,medium,15,no,4.0,41.2,Medium,22.6934,75.8656,5,medium,partial,1,0.38
Pardeshipura,industrial,3,medium,medium,low,16,no,5.0,5.9,Unsafe,22.7289,75.8534,33,medium,partial,1,1.01
Jawahar Marg,commercial,19,good,low,high,2,yes,1.5,90.9,Safe,22.7178,75.8712,22,low,partial,0,0.41
Manik Bagh,residential,8,good,low,medium,5,yes,2.1,88.1,Safe,22.6934,75.8823,6,low,partial,0,0.39
Annapurna Road,commercial,18,medium,medium,medium,23,yes,3.0,49.8,Medium,22.6975,75.8782,7,low,partial,1,0.42
Rajwada,market,22,medium,medium,medium,22,yes,1.5,18.3,Unsafe,22.718,75.8573,8,medium,partial,1,0.87
Nipania,residential,20,good,low,medium,1,yes,2.2,66.1,Medium,22.7634,75.9123,71,low,partial,0,0.59
Tejpur Gadbadi,isolated,7,poor,high,low,37,no,9.5,5.8,Unsafe,22.7534,75.9345,73,low,none,0,0.83
Pardeshipura,industrial,10,medium,medium,low,17,no,5.0,26.3,Unsafe,22.7289,75.8534,33,medium,partial,1,0.67
Navlakha,commercial,14,medium,low,high,10,yes,1.8,77.6,Safe,22.7156,75.8689,20,medium,partial,1,0.44
Loha Mandi,industrial,9,poor,high,low,36,no,7.0,22.1,Unsafe,22.7089,75.8512,14,high,none,0,0.69
Betma Road,isolated,12,poor,high,low,48,no,9.0,19.1,Unsafe,22.7123,75.7723,79,high,none,0,0.82
Aerodrome Road,commercial,5,good,low,low,1,yes,2.0,59.0,Medium,22.7234,75.8012,25,low,partial,1,0.6
Nemawar Road,isolated,6,poor,high,low,41,no,7.5,14.5,Unsafe,22.6543,75.8234,2,high,none,0,0.79
Khajrana,residential,5,medium,medium,low,13,no,3.5,7.6,Unsafe,22.7395,75.9107,61,medium,partial,1,0.54
Nemawar Road,isolated,21,poor,high,low,53,no,7.5,7.0,Unsafe,22.6543,75.8234,2,high,none,0,1.02
Scheme 54,residential,11,good,low,medium,4,yes,2.5,93.1,Safe,22.7411,75.8673,54,low,full,1,0.39
Lasudia,residential,19,poor,medium,low,19,no,5.0,24.0,Unsafe,22.7567,75.9234,72,low,partial,1,0.4
Sanwer Road Indl,industrial,19,poor,high,low,49,no,7.0,14.8,Unsafe,22.7456,75.8123,74,medium,partial,0,0.68
Rajwada,market,2,medium,medium,low,25,yes,1.5,11.3,Unsafe,22.718,75.8573,8,medium,partial,1,0.87
Pigdambar,isolated,6,poor,medium,low,31,no,8.0,14.5,Unsafe,22.8234,75.9234,87,low,none,0,0.8
Scheme 54,residential,17,good,low,medium,3,yes,2.5,87.7,Safe,22.7411,75.8673,54,low,full,1,0.43
Scheme 54,residential,19,good,low,medium,2,yes,2.5,88.1,Safe,22.7411,75.8673,54,low,full,1,0.39
Sanwer Road Indl,industrial,4,poor,high,low,18,no,7.0,8.5,Unsafe,22.7456,75.8123,74,medium,partial,0,1.02
Nanda Nagar,residential,0,medium,low,low,4,yes,2.5,50.9,Medium,22.7456,75.8956,64,low,partial,0,0.61
Scheme 140,residential,0,good,low,low,1,yes,2.8,59.4,Medium,22.7634,75.8734,69,low,partial,0,0.56
Vijay Nagar,commercial,16,good,low,high,4,yes,1.2,95.7,Safe,22.7343,75.8867,45,low,full,1,0.43
Khajrana,residential,15,medium,medium,medium,8,no,3.5,46.1,Medium,22.7395,75.9107,61,medium,partial,1,0.39
Bypass Roads,isolated,0,poor,high,low,42,no,9.0,13.7,Unsafe,22.7823,75.8789,80,high,none,0,1.0
Rajwada,market,1,medium,medium,low,8,yes,1.5,23.1,Unsafe,22.718,75.8573,8,medium,partial,1,0.89
Geeta Bhawan,residential,4,good,low,low,4,yes,2.8,59.1,Medium,22.7242,75.882,38,low,full,0,0.59
Vijay Nagar,commercial,17,good,low,high,3,yes,1.2,90.2,Safe,22.7343,75.8867,45,low,full,1,0.48
Raoji Bazar,market,21,medium,medium,high,8,yes,1.8,26.0,Unsafe,22.7198,75.8534,11,high,partial,0,0.8
Musakhedi,residential,22,poor,high,low,23,no,6.0,13.0,Unsafe,22.7134,75.8734,27,medium,partial,0,0.54
Bhanwarkuan,residential,20,medium,medium,medium,14,no,3.5,21.3,Unsafe,22.6812,75.8645,3,low,partial,0,0.57
Malwa Mill,industrial,21,poor,high,low,43,no,6.0,17.3,Unsafe,22.7234,75.8345,16,high,none,0,1.02
Palda,residential,18,medium,medium,low,8,no,5.0,40.9,Medium,22.6734,75.9123,24,low,partial,0,0.41
Bicholi Mardana,residential,6,poor,medium,low,17,no,5.5,11.4,Unsafe,22.7734,75.9234,77,medium,partial,0,0.36
Bhanwarkuan,residential,17,medium,medium,low,13,no,3.5,35.7,Unsafe,22.6812,75.8645,3,low,partial,0,0.43
Pigdambar,isolated,3,poor,medium,low,26,no,8.0,17.7,Unsafe,22.8234,75.9234,87,low,none,0,1.04
Rajwada,market,7,medium,medium,high,26,yes,1.5,44.2,Medium,22.718,75.8573,8,medium,partial,1,0.58
Scheme 140,residential,19,good,low,medium,4,yes,2.8,87.7,Safe,22.7634,75.8734,69,low,partial,0,0.43
Banganga,residential,9,medium,medium,medium,18,no,4.0,36.2,Unsafe,22.6934,75.8656,5,medium,partial,1,0.38
Navlakha,commercial,16,medium,low,high,2,yes,1.8,80.1,Safe,22.7156,75.8689,20,medium,partial,1,0.49
LIG Colony,residential,14,good,low,medium,3,yes,2.4,93.4,Safe,22.7423,75.8734,55,low,partial,1,0.36
Tilak Nagar,residential,0,medium,medium,low,21,no,4.2,7.5,Unsafe,22.7089,75.8734,10,low,partial,1,0.55
Old Railway Lanes,isolated,5,poor,high,low,57,no,6.5,5.9,Unsafe,22.7134,75.8423,15,high,none,0,1.04
Old Railway Lanes,isolated,18,poor,high,low,31,no,6.5,12.5,Unsafe,22.7134,75.8423,15,high,none,0,0.77
Scheme 140,residential,1,good,low,low,3,yes,2.8,59.4,Medium,22.7634,75.8734,69,low,partial,0,0.56
Pigdambar,isolated,11,poor,medium,low,28,no,8.0,17.5,Unsafe,22.8234,75.9234,87,low,none,0,0.78
Hira Nagar,residential,13,medium,low,medium,15,no,3.0,69.5,Medium,22.7534,75.8823,62,low,partial,0,0.35
Geeta Bhawan,residential,7,good,low,medium,4,yes,2.8,88.4,Safe,22.7242,75.882,38,low,full,0,0.36
Annapurna Road,commercial,15,medium,medium,medium,8,yes,3.0,66.5,Medium,22.6975,75.8782,7,low,partial,1,0.45
Pipliyahana,residential,5,good,low,low,5,yes,2.6,59.7,Medium,22.6823,75.8934,48,low,partial,0,0.53
Pigdambar,isolated,10,poor,medium,low,37,no,8.0,15.1,Unsafe,22.8234,75.9234,87,low,none,0,0.85
Scheme 54,residential,4,good,low,low,6,yes,2.5,56.5,Medium,22.7411,75.8673,54,low,full,1,0.55
Scheme 94,residential,13,good,low,medium,4,yes,2.0,93.5,Safe,22.7534,75.8612,94,low,partial,0,0.35
Bhanwarkuan,residential,22,medium,medium,low,9,no,3.5,19.0,Unsafe,22.6812,75.8645,3,low,partial,0,0.6
Palda,residential,11,medium,medium,low,19,no,5.0,40.7,Medium,22.6734,75.9123,24,low,partial,0,0.43
Siyaganj,market,20,medium,medium,high,12,yes,2.0,20.5,Unsafe,22.7212,75.8623,17,high,partial,1,0.85
Bicholi Mardana,residential,16,poor,medium,low,15,no,5.5,15.7,Unsafe,22.7734,75.9234,77,medium,partial,0,0.43
Palda,residential,11,medium,medium,low,9,no,5.0,46.4,Medium,22.6734,75.9123,24,low,partial,0,0.36
LIG Colony,residential,4,good,low,low,3,yes,2.4,59.6,Medium,22.7423,75.8734,55,low,partial,1,0.54
Aerodrome Road,commercial,10,good,low,medium,4,yes,2.0,92.2,Safe,22.7234,75.8012,25,low,partial,1,0.48
Sarafa Bazar,market,8,good,low,high,6,yes,0.9,85.8,Safe,22.7167,75.8554,9,low,partial,0,0.62
AB Road,commercial,0,good,low,low,2,yes,1.3,59.1,Medium,22.7233,75.8958,52,low,full,0,0.59
Scheme 78,residential,12,good,low,medium,1,yes,2.2,92.8,Safe,22.7467,75.8756,78,low,full,0,0.42
Manik Bagh,residential,17,good,low,medium,3,yes,2.1,88.1,Safe,22.6934,75.8823,6,low,partial,0,0.39
Malwa Mill,industrial,5,poor,high,low,22,no,6.0,22.1,Unsafe,22.7234,75.8345,16,high,none,0,0.93
Hira Nagar,residential,1,medium,low,low,5,no,3.0,43.8,Medium,22.7534,75.8823,62,low,partial,0,0.52
Bicholi Mardana,residential,8,poor,medium,low,13,no,5.5,11.2,Unsafe,22.7734,75.9234,77,medium,partial,0,0.38
Bicholi Mardana,residential,11,poor,medium,low,14,no,5.5,15.7,Unsafe,22.7734,75.9234,77,medium,partial,0,0.43
Govind Colony,residential,1,medium,low,low,6,no,3.8,34.4,Unsafe,22.7312,75.8912,47,low,partial,0,0.56
Pipliyahana,residential,15,good,low,medium,3,yes,2.6,92.8,Safe,22.6823,75.8934,48,low,partial,0,0.42
Palasia,commercial,18,good,low,high,6,yes,1.5,87.5,Safe,22.7197,75.8772,32,low,full,1,0.45
Anand Bazaar,commercial,15,good,low,high,1,yes,1.6,95.9,Safe,22.7167,75.8623,21,low,partial,0,0.41
South Tukoganj,commercial,12,good,low,high,1,yes,0.8,95.7,Safe,22.7148,75.8826,12,low,full,0,0.43
Kanadiya Road,isolated,9,poor,high,low,54,no,8.0,18.2,Unsafe,22.7823,75.8456,82,low,partial,0,0.78
Bhanwarkuan,residential,9,medium,medium,medium,19,no,3.5,43.5,Medium,22.6812,75.8645,3,low,partial,0,0.35
Jawahar Marg,commercial,8,good,low,high,2,yes,1.5,90.6,Safe,22.7178,75.8712,22,low,partial,0,0.44
Tilak Nagar,residential,4,medium,medium,low,14,no,4.2,14.1,Unsafe,22.7089,75.8734,10,low,partial,1,0.59
Malwa Mill,industrial,16,poor,high,low,17,no,6.0,8.3,Unsafe,22.7234,75.8345,16,high,none,0,0.7
Chhota Bangarda,residential,19,medium,medium,low,7,no,5.0,41.4,Medium,22.7823,75.9123,76,low,none,0,0.36
Tejaji Nagar,residential,6,medium,medium,low,13,no,3.2,28.6,Unsafe,22.6934,75.8345,23,medium,partial,0,0.44
Rau Bypass,isolated,19,poor,high,low,18,no,7.5,6.4,Unsafe,22.6623,75.8034,1,high,none,0,0.81
Pigdambar,isolated,10,poor,medium,low,30,no,8.0,17.8,Unsafe,22.8234,75.9234,87,low,none,0,0.75
Sanwer Road Indl,industrial,22,poor,high,low,52,no,7.0,5.5,Unsafe,22.7456,75.8123,74,medium,partial,0,0.98
Sudama Nagar,residential,15,medium,medium,low,8,no,4.5,46.3,Medium,22.6891,75.8731,4,low,partial,0,0.37
Limbodi,residential,13,medium,medium,low,20,no,5.5,28.4,Unsafe,22.8123,75.8456,84,medium,partial,0,0.36
Lasudia,residential,17,poor,medium,low,14,no,5.0,24.1,Unsafe,22.7567,75.9234,72,low,partial,1,0.39
Sapna Sangeeta,commercial,2,good,low,low,6,yes,1.8,55.6,Medium,22.7273,75.88,41,low,full,0,0.64
Tejaji Nagar,residential,7,medium,medium,medium,8,no,3.2,41.3,Medium,22.6934,75.8345,23,medium,partial,0,0.37
Hira Nagar,residential,18,medium,low,medium,6,no,3.0,69.1,Medium,22.7534,75.8823,62,low,partial,0,0.39
Juni Indore,market,2,medium,medium,low,17,no,3.0,16.7,Unsafe,22.7123,75.8512,16,high,partial,0,0.86
Tejpur Gadbadi,isolated,9,poor,high,low,34,no,9.5,23.8,Unsafe,22.7534,75.9345,73,low,none,0,0.76
Siyaganj,market,8,medium,medium,high,18,yes,2.0,42.5,Medium,22.7212,75.8623,17,high,partial,1,0.65
Scheme 94,residential,21,good,low,medium,5,yes,2.0,66.8,Medium,22.7534,75.8612,94,low,partial,0,0.52
Anand Bazaar,commercial,17,good,low,high,5,yes,1.6,90.5,Safe,22.7167,75.8623,21,low,partial,0,0.45
Raoji Bazar,market,20,medium,medium,high,9,yes,1.8,25.6,Unsafe,22.7198,75.8534,11,high,partial,0,0.84
Bhawarkuan,residential,4,medium,medium,low,7,no,3.8,18.9,Unsafe,22.6812,75.8645,3,low,partial,1,0.61
Nanda Nagar,residential,23,medium,low,low,3,yes,2.5,51.3,Medium,22.7456,75.8956,64,low,partial,0,0.57
Loha Mandi,industrial,13,poor,high,low,53,no,7.0,16.5,Unsafe,22.7089,75.8512,14,high,none,0,0.69
Hatod Road,isolated,21,poor,high,low,23,no,8.5,12.8,Unsafe,22.7823,75.7934,81,low,none,0,1.0
Khajrana,residential,16,medium,medium,medium,9,no,3.5,45.9,Medium,22.7395,75.9107,61,medium,partial,1,0.41
Khajrana,residential,4,medium,medium,low,7,no,3.5,11.9,Unsafe,22.7395,75.9107,61,medium,partial,1,0.61
Hira Nagar,residential,6,medium,low,low,9,no,3.0,62.2,Medium,22.7534,75.8823,62,low,partial,0,0.38
Annapurna Road,commercial,12,medium,medium,medium,19,yes,3.0,62.0,Medium,22.6975,75.8782,7,low,partial,1,0.4
Chhota Bangarda,residential,4,medium,medium,low,9,no,5.0,19.1,Unsafe,22.7823,75.9123,76,low,none,0,0.59
Rau,residential,8,medium,low,medium,11,no,4.0,58.2,Medium,22.6734,75.8123,1,low,partial,1,0.38
Manik Bagh,residential,18,good,low,medium,1,yes,2.1,87.8,Safe,22.6934,75.8823,6,low,partial,0,0.42
Scheme 94,residential,21,good,low,medium,4,yes,2.0,66.3,Medium,22.7534,75.8612,94,low,partial,0,0.57
Tilak Nagar,residential,8,medium,medium,low,11,no,4.2,35.7,Unsafe,22.7089,75.8734,10,low,partial,1,0.43
Pipliyahana,residential,20,good,low,medium,1,yes,2.6,66.2,Medium,22.6823,75.8934,48,low,partial,0,0.58
LIG Colony,residential,11,good,low,medium,3,yes,2.4,93.2,Safe,22.7423,75.8734,55,low,partial,1,0.38
Anand Bazaar,commercial,6,good,low,medium,2,yes,1.6,88.0,Safe,22.7167,75.8623,21,low,partial,0,0.4
Nipania,residential,16,good,low,medium,3,yes,2.2,93.0,Safe,22.7634,75.9123,71,low,partial,0,0.4
Pardeshipura,industrial,3,medium,medium,low,8,no,5.0,17.9,Unsafe,22.7289,75.8534,33,medium,partial,1,1.01
Sudama Nagar,residential,6,medium,medium,low,6,no,4.5,41.3,Medium,22.6891,75.8731,4,low,partial,0,0.37
Bhagirathpura,residential,18,medium,medium,medium,9,no,4.0,32.7,Unsafe,22.7212,75.8489,28,high,partial,0,0.43
Rau,residential,6,medium,low,low,6,no,4.0,56.0,Medium,22.6734,75.8123,1,low,partial,1,0.4
Tilak Nagar,residential,15,medium,medium,low,12,no,4.2,40.8,Medium,22.7089,75.8734,10,low,partial,1,0.42
Scheme 94,residential,0,good,low,low,4,yes,2.0,59.3,Medium,22.7534,75.8612,94,low,partial,0,0.57
MG Road,commercial,21,good,low,high,4,yes,1.0,68.4,Medium,22.7196,75.8799,18,low,full,1,0.66
Vijay Nagar,commercial,18,good,low,high,3,yes,1.2,90.9,Safe,22.7343,75.8867,45,low,full,1,0.41
Scheme 140,residential,9,good,low,medium,1,yes,2.8,87.7,Safe,22.7634,75.8734,69,low,partial,0,0.43
Aerodrome Road,commercial,5,good,low,low,2,yes,2.0,58.7,Medium,22.7234,75.8012,25,low,partial,1,0.63
Lasudia,residential,20,poor,medium,low,13,no,5.0,14.2,Unsafe,22.7567,75.9234,72,low,partial,1,0.54
Bhawarkuan,residential,0,medium,medium,low,16,no,3.8,14.9,Unsafe,22.6812,75.8645,3,low,partial,1,0.51
Nipania,residential,17,good,low,medium,1,yes,2.2,88.3,Safe,22.7634,75.9123,71,low,partial,0,0.37
Sudama Nagar,residential,6,medium,medium,low,10,no,4.5,41.5,Medium,22.6891,75.8731,4,low,partial,0,0.35
Pigdambar,isolated,19,poor,medium,low,16,no,8.0,15.9,Unsafe,22.8234,75.9234,87,low,none,0,0.84
Govind Colony,residential,17,medium,low,medium,8,no,3.8,63.0,Medium,22.7312,75.8912,47,low,partial,0,0.4
Tejpur Gadbadi,isolated,0,poor,high,low,20,no,9.5,23.8,Unsafe,22.7534,75.9345,73,low,none,0,1.05
Nemawar Road,isolated,19,poor,high,low,45,no,7.5,12.7,Unsafe,22.6543,75.8234,2,high,none,0,0.8
Nemawar Road,isolated,2,poor,high,low,51,no,7.5,24.2,Unsafe,22.6543,75.8234,2,high,none,0,0.98
Bapat Square,commercial,6,good,low,medium,2,yes,1.4,87.2,Safe,22.7234,75.8867,36,low,full,0,0.48
Hira Nagar,residential,15,medium,low,medium,6,no,3.0,74.3,Safe,22.7534,75.8823,62,low,partial,0,0.37
Pardeshipura,industrial,23,medium,medium,low,6,no,5.0,23.1,Unsafe,22.7289,75.8534,33,medium,partial,1,0.97
Bhawarkuan,residential,10,medium,medium,medium,13,no,3.8,47.7,Medium,22.6812,75.8645,3,low,partial,1,0.43
Nipania,residential,8,good,low,medium,3,yes,2.2,87.6,Safe,22.7634,75.9123,71,low,partial,0,0.44
Super Corridor,commercial,16,good,low,medium,3,yes,2.0,92.7,Safe,22.8123,75.8934,85,low,full,0,0.43
Sarafa Bazar,market,11,good,low,high,8,yes,0.9,91.4,Safe,22.7167,75.8554,9,low,partial,0,0.56
Nanda Nagar,residential,23,medium,low,low,12,yes,2.5,43.5,Medium,22.7456,75.8956,64,low,partial,0,0.55
Chambal Colony,residential,16,poor,high,low,40,no,6.5,8.9,Unsafe,22.7289,75.8478,35,low,partial,0,0.44
Bapat Square,commercial,11,good,low,high,3,yes,1.4,95.3,Safe,22.7234,75.8867,36,low,full,0,0.47
Kanadiya Road,isolated,21,poor,high,low,54,no,8.0,6.4,Unsafe,22.7823,75.8456,82,low,partial,0,1.04
Raoji Bazar,market,11,medium,medium,high,14,yes,1.8,48.1,Medium,22.7198,75.8534,11,high,partial,0,0.59
Manik Bagh,residential,12,good,low,medium,4,yes,2.1,92.5,Safe,22.6934,75.8823,6,low,partial,0,0.45
Raoji Bazar,market,2,medium,medium,low,21,yes,1.8,7.0,Unsafe,22.7198,75.8534,11,high,partial,0,0.84
Banganga,residential,3,medium,medium,low,10,no,4.0,12.4,Unsafe,22.6934,75.8656,5,medium,partial,1,0.56
Jawahar Marg,commercial,11,good,low,high,2,yes,1.5,95.1,Safe,22.7178,75.8712,22,low,partial,0,0.49
Khajrana,residential,14,medium,medium,medium,12,no,3.5,41.0,Medium,22.7395,75.9107,61,medium,partial,1,0.4
Siyaganj,market,5,medium,medium,low,17,yes,2.0,10.3,Unsafe,22.7212,75.8623,17,high,partial,1,0.87
Old Railway Lanes,isolated,8,poor,high,low,56,no,6.5,5.4,Unsafe,22.7134,75.8423,15,high,none,0,0.82
Khajrana,residential,16,medium,medium,medium,11,no,3.5,41.4,Medium,22.7395,75.9107,61,medium,partial,1,0.36
Musakhedi,residential,2,poor,high,low,25,no,6.0,6.9,Unsafe,22.7134,75.8734,27,medium,partial,0,0.57
Navlakha,commercial,11,medium,low,high,6,yes,1.8,77.2,Safe,22.7156,75.8689,20,medium,partial,1,0.48
MG Road,commercial,0,good,low,low,2,yes,1.0,58.7,Medium,22.7196,75.8799,18,low,full,1,0.63
AB Road,commercial,5,good,low,low,4,yes,1.3,58.9,Medium,22.7233,75.8958,52,low,full,0,0.61
Kesar Bagh,residential,0,good,low,low,4,yes,2.3,59.8,Medium,22.7189,75.8734,29,low,partial,0,0.52
Hatod Road,isolated,14,poor,high,low,21,no,8.5,18.7,Unsafe,22.7823,75.7934,81,low,none,0,0.82
Khajrana,residential,14,medium,medium,medium,14,no,3.5,41.2,Medium,22.7395,75.9107,61,medium,partial,1,0.38
Pigdambar,isolated,23,poor,medium,low,25,no,8.0,6.4,Unsafe,22.8234,75.9234,87,low,none,0,1.01
Sapna Sangeeta,commercial,13,good,low,high,1,yes,1.8,95.6,Safe,22.7273,75.88,41,low,full,0,0.44
Juni Indore,market,14,medium,medium,medium,11,no,3.0,36.8,Unsafe,22.7123,75.8512,16,high,partial,0,0.62
Tejpur Gadbadi,isolated,20,poor,high,low,62,no,9.5,11.4,Unsafe,22.7534,75.9345,73,low,none,0,0.99
Tejaji Nagar,residential,11,medium,medium,medium,8,no,3.2,46.5,Medium,22.6934,75.8345,23,medium,partial,0,0.35
Sudama Nagar,residential,3,medium,medium,low,6,no,4.5,19.0,Unsafe,22.6891,75.8731,4,low,partial,0,0.6
Tilak Nagar,residential,8,medium,medium,low,8,no,4.2,41.1,Medium,22.7089,75.8734,10,low,partial,1,0.39
LIG Colony,residential,9,good,low,medium,4,yes,2.4,87.5,Safe,22.7423,75.8734,55,low,partial,1,0.45
